,model,price,spec_score,processor,core_threads,ram,ssd,graphics,display,os,extra_info
994,Lenovo ThinkBook 14 20VDA0TLIH Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹69,490",65,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
995,Acer Aspire 3 A315-58 Laptop (11th Gen Core i5/ 8GB/ 1TB HDD/ Win11 Home),"₹62,999",56,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",8 GB DDR4 RAM,1 TB Hard Disk,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
996,Asus TUF Gaming A15 FA506IC-HN075W Laptop (Ryzen 7 4800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),"₹80,990",55,4th Gen AMD Ryzen 7  4800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX3050,"15.6 inches, 1080 x 1920 pixels",Windows 11 OS,1 Year Warranty
997,Acer Extensa EX215-31 Laptop (Intel Pentium N5030/ 4GB/ 256GB SSD/ Win11),"₹23,899",49,Intel Pentium  N5030,Quad Core,4 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD 605,"15.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
998,Fujitsu CH 4ZR1H03553 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹54,990",63,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,"13.3 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
999,Lenovo V15 82KB0003GE Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11 Home),"₹32,499",,,,,,,,,
1000,Lenovo Thinkpad P15v 21AAS0R100 Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win10 Pro/ 4GB Graph),"₹1,46,500",76,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,1 TB SSD,4 GB Nvidia Quadro T600,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
1001,Asus VivoBook 15 X515JA-BQ521WS Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹42,990",55,10th Gen Intel Core i5 1035G1,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
1002,Fujitsu UH-X 4ZR1F38027 Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11),"₹99,990",69,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16 GB LPDDR4X RAM,1 TB SSD,Intel Iris Xe Graphics,"13.3 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
1003,Lenovo IdeaPad Slim 3 81WE01QLIN Laptop (10th Gen Core i3/ 8GB/ 512GB SSD/ Win11),"₹37,490",53,10th Gen Intel Core i3 10110U ,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1080 pixels",Windows 10  OS,1 Year Warranty
1004,Asus K413EA-EB522WS Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),"₹56,990",63,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
1005,HP Victus 16-e0361ax Gaming Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),"₹1,04,490",76,5th Gen AMD Ryzen 7 5800H ,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3060,"16.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
1006,Asus Vivobook Pro 14 OLED 2021 M3401QC-KM045WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹87,500",67,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX RTX 3050,"14 inches, 2880 x 1800 pixels",Windows 10 OS,1 Year Warranty
1007,HP Pavilion 14-EC1019AU Laptop (Ryzen 5 5625U/ 16GB/ 512GB SSD/ Win11 Home),"₹61,990",60,5th Gen AMD Ryzen 5  5625U,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
